VFG_ID,mean_dnds_x,mean_dnds_y,BB,BA,y_minus_x,x_minus_y
VFG000116,0.03039148321905449,0.1622179640718563,0.03039148321905449,0.1622179640718563,0.1318264808528018,-0.1318264808528018
VFG000157,0.09516326253953908,0.2101861169837914,0.09516326253953908,0.2101861169837914,0.11502285444425231,-0.11502285444425231
VFG000171,0.3092010762751521,0.1281031018681706,0.3092010762751521,0.1281031018681706,-0.1810979744069815,0.1810979744069815
VFG000176,0.015147622585438336,0.1838137444279346,0.015147622585438336,0.1838137444279346,0.16866612184249627,-0.16866612184249627
VFG000203,0.061492409381663116,0.7565455099553028,0.061492409381663116,0.7565455099553028,0.6950531005736397,-0.6950531005736397
VFG001230,0.20644855123674913,0.10118464525238263,0.20644855123674913,0.10118464525238263,-0.1052639059843665,0.1052639059843665
VFG002064,0.1338921171171171,0.05845954897815363,0.1338921171171171,0.05845954897815363,-0.07543256813896347,0.07543256813896347
VFG002067,0.1547600076394194,0.26304417475728153,0.1547600076394194,0.26304417475728153,0.10828416711786212,-0.10828416711786212
VFG002075,0.010615949269792467,0.1239099823633157,0.010615949269792467,0.1239099823633157,0.11329403309352323,-0.11329403309352323
VFG002077,0.11127616175948918,0.040110925860234126,0.11127616175948918,0.040110925860234126,-0.07116523589925505,0.07116523589925505
VFG014062,0.21924955720864328,0.14075690509915015,0.21924955720864328,0.14075690509915015,-0.07849265210949313,0.07849265210949313
VFG014950,0.1283063559322034,0.04531370683579986,0.1283063559322034,0.04531370683579986,-0.08299264909640355,0.08299264909640355
VFG015168,0.3383984334203655,0.20516607898448516,0.3383984334203655,0.20516607898448516,-0.13323235443588036,0.13323235443588036
VFG015552,0.15973875938364282,0.050587129760225676,0.15973875938364282,0.050587129760225676,-0.10915162962341715,0.10915162962341715
VFG015950,0.14040280042538106,0.050647359092520376,0.14040280042538106,0.050647359092520376,-0.08975544133286067,0.08975544133286067
VFG016117,0.27178596677271116,0.13286120141342758,0.27178596677271116,0.13286120141342758,-0.13892476535928358,0.13892476535928358
VFG020003,0.07923230167200285,0.2607813140233133,0.07923230167200285,0.2607813140233133,0.18154901235131043,-0.18154901235131043
VFG020090,0.491808455226543,0.2162417694747973,0.491808455226543,0.2162417694747973,-0.2755666857517457,0.2755666857517457
VFG040875,0.12199039184111649,1.0186291812456263,0.12199039184111649,1.0186291812456263,0.8966387894045098,-0.8966387894045098
VFG040878,0.18692615166548546,0.019489900779588946,0.18692615166548546,0.019489900779588946,-0.1674362508858965,0.1674362508858965
VFG042695,0.22934712892741063,0.3948630698005698,0.22934712892741063,0.3948630698005698,0.16551594087315916,-0.16551594087315916
VFG042696,0.1886075827398408,0.31673430099312455,0.1886075827398408,0.31673430099312455,0.12812671825328376,-0.12812671825328376
VFG042698,0.08441196534921495,0.1915447126991791,0.08441196534921495,0.1915447126991791,0.10713274734996416,-0.10713274734996416
VFG042699,0.22353635398230087,0.11773360338147235,0.22353635398230087,0.11773360338147235,-0.10580275060082853,0.10580275060082853
VFG042701,0.09222489035087719,0.21261850407656857,0.09222489035087719,0.21261850407656857,0.12039361372569138,-0.12039361372569138
VFG042749,0.032867258522727275,0.1808823093220339,0.032867258522727275,0.1808823093220339,0.1480150507993066,-0.1480150507993066
VFG043480,0.005702578475336323,0.11577132188200151,0.005702578475336323,0.11577132188200151,0.11006874340666518,-0.11006874340666518
VFG043810,0.44464299817184644,0.25925250883392226,0.44464299817184644,0.25925250883392226,-0.18539048933792418,0.18539048933792418
VFG044103,0.18588210976478972,0.11451063754843255,0.18588210976478972,0.11451063754843255,-0.07137147221635717,0.07137147221635717
VFG050297,0.03616619024149828,0.15199063736263735,0.03616619024149828,0.15199063736263735,0.11582444712113907,-0.11582444712113907
