VFG_ID,mean_dnds_x,mean_dnds_y,AA,AB,y_minus_x,x_minus_y
VFG000116,0.008221437376725836,0.3256292877225867,0.008221437376725836,0.3256292877225867,0.3174078503458609,-0.3174078503458609
VFG000139,0.08729299139080879,0.21607200860446357,0.08729299139080879,0.21607200860446357,0.12877901721365478,-0.12877901721365478
VFG000141,0.12132632875291677,0.28317154994259464,0.12132632875291677,0.28317154994259464,0.16184522118967787,-0.16184522118967787
VFG000203,0.10758774177342377,0.4140737470754834,0.10758774177342377,0.4140737470754834,0.3064860053020596,-0.3064860053020596
VFG001224,0.00811798799948934,0.23339437923250567,0.00811798799948934,0.23339437923250567,0.22527639123301632,-0.22527639123301632
VFG001267,0.2453562848003791,0.15819396792189677,0.2453562848003791,0.15819396792189677,-0.08716231687848233,0.08716231687848233
VFG002067,0.12054888734353268,0.4044950552716034,0.12054888734353268,0.4044950552716034,0.2839461679280707,-0.2839461679280707
VFG014783,0.11855250263435195,0.2707645350887504,0.11855250263435195,0.2707645350887504,0.15221203245439846,-0.15221203245439846
VFG014893,0.261530975877193,0.14991344942146867,0.261530975877193,0.14991344942146867,-0.11161752645572431,0.11161752645572431
VFG015168,0.2942510959500653,0.1413444191070571,0.2942510959500653,0.1413444191070571,-0.1529066768430082,0.1529066768430082
VFG015387,0.19321374324324325,0.11561179694947568,0.19321374324324325,0.11561179694947568,-0.07760194629376757,0.07760194629376757
VFG015491,0.23774685742235263,0.14103421957368784,0.23774685742235263,0.14103421957368784,-0.0967126378486648,0.0967126378486648
VFG020003,0.2353983178726036,0.37234550332439054,0.2353983178726036,0.37234550332439054,0.13694718545178694,-0.13694718545178694
VFG040875,0.39547806398687446,0.21059023717595146,0.39547806398687446,0.21059023717595146,-0.184887826810923,0.184887826810923
VFG040877,0.15800614607710312,0.06856275028768699,0.15800614607710312,0.06856275028768699,-0.08944339578941612,0.08944339578941612
VFG041023,0.2577965549132948,0.17724929464388117,0.2577965549132948,0.17724929464388117,-0.08054726026941361,0.08054726026941361
VFG041042,0.16068591265131732,0.06125824162679427,0.16068591265131732,0.06125824162679427,-0.09942767102452305,0.09942767102452305
VFG042297,0.13942780699447804,0.05806291671440028,0.13942780699447804,0.05806291671440028,-0.08136489028007776,0.08136489028007776
VFG042695,0.16712704811443435,0.3587055651772313,0.16712704811443435,0.3587055651772313,0.19157851706279694,-0.19157851706279694
VFG042696,0.10544358504398826,0.45478947614047366,0.10544358504398826,0.45478947614047366,0.3493458910964854,-0.3493458910964854
VFG042698,0.19165861456483127,0.38381940772078266,0.19165861456483127,0.38381940772078266,0.1921607931559514,-0.1921607931559514
VFG042701,0.3664485921382771,0.2750705827505827,0.3664485921382771,0.2750705827505827,-0.09137800938769436,0.09137800938769436
VFG044081,0.1539070838583228,0.052240038337127113,0.1539070838583228,0.052240038337127113,-0.10166704552119568,0.10166704552119568
VFG044097,0.3384336024844721,0.2496633371559633,0.3384336024844721,0.2496633371559633,-0.08877026532850876,0.08877026532850876
VFG044448,0.16165158978952082,0.06339344713025546,0.16165158978952082,0.06339344713025546,-0.09825814265926536,0.09825814265926536
VFG050297,0.022889422732162067,0.4391647217235188,0.022889422732162067,0.4391647217235188,0.41627529899135673,-0.41627529899135673
VFG051484,0.20669130534790106,0.11072971487461354,0.20669130534790106,0.11072971487461354,-0.09596159047328752,0.09596159047328752
VFG051491,0.12313188425485669,0.35166072398190046,0.12313188425485669,0.35166072398190046,0.22852883972704377,-0.22852883972704377
VFG051551,0.17229263328321962,0.32051835798646944,0.17229263328321962,0.32051835798646944,0.14822572470324982,-0.14822572470324982
VFG051596,0.21332872136183284,0.40920506329113926,0.21332872136183284,0.40920506329113926,0.19587634192930642,-0.19587634192930642
