VFG_ID,n_internal,n_external,Mean_internal,Mean_external,SD_internal,SD_external,Delta_mean,log2FC,Cohen_d,Hedges_g,Median_log2_ratio,Cliffs_delta,p_value,q_value
VFG000115,2304,2766,0.17661679687499998,0.16747765726681127,0.19290502638699522,0.07913832315256188,-0.009139139608188712,-0.07665390796325643,-0.06410167868499332,-0.06409219197806938,0.09843980980439661,-0.5987604631136016,0.03328070208235185,0.03931726877046216
VFG000116,2771,2839,0.03039148321905449,0.1622179640718563,0.06730277795320219,0.12813200038296307,0.1318264808528018,2.416194216515028,1.283697367573349,1.283525681420136,23.397543164388875,-0.9282867173712948,0.0,0.0
VFG000120,2824,2832,0.021380240793201135,0.0265801906779661,0.0636828527758283,0.07979649986856642,0.005199949884764965,0.3140732207009803,0.07201946878978625,0.07200991502430452,0.0,-0.22988988652550374,0.006769755422913736,0.008350716270181016
VFG000122,2833,2837,0.0019861630780091772,0.0013470567500881213,0.02541326918289694,0.021729487416559362,-0.0006391063279210559,-0.5601700056377984,-0.027032740304752632,-0.027029163125937658,0.0,-0.025892656180538026,0.30888273560560275,0.3305446417389827
VFG000123,2624,2800,0.04820685975609756,0.026821142857142856,0.11798516558105134,0.05954173298232988,-0.0213857168989547,-0.8458675033175856,-0.23108601754198932,-0.2310540510158388,0.0,-0.31707357905052264,1.0030559535080996e-16,1.65967491102545e-16
VFG000124,2839,2839,0.008620112715744982,0.0039609017259598445,0.052371094478196954,0.027946713239016877,-0.004659210989785137,-1.1218758583371835,-0.11100046841654516,-0.11098580068958179,0.0,-0.07512480581385352,2.945625476698477e-05,4.0052729254117903e-05
VFG000125,2194,2835,0.10507292616226072,0.11898070546737213,0.18415835558678229,0.06103481431469626,0.013907779305111417,0.17933663937334077,0.10699859016636665,0.10698262578726986,23.59377418293474,-0.9382844666952841,0.0006941724517279095,0.0008854459755786338
VFG000126,2618,2839,0.0718640565317036,0.13545988023952096,0.13816416620722236,0.07874490356867941,0.06359582370781737,0.9145232521440314,0.5714768848463327,0.5713983097212336,23.862306001490012,-0.7147272883343994,2.862604067585005e-90,1.1677157186584376e-89
VFG000127,2829,2837,0.09499639448568399,0.04523017271765949,0.12050771369728115,0.062075259492402786,-0.0497662217680245,-1.0705870859047264,-0.5194082687335267,-0.519339488119702,0.0,-0.6958742058340569,2.0405488213082068e-81,7.506304592669476e-81
VFG000128,2834,2839,0.036319865913902606,0.016781824586121874,0.06563865149636204,0.037528489258728634,-0.019538041327780732,-1.113858834225741,-0.36552400438299004,-0.3654756610415824,0.0,-0.47413608169107424,3.163302838323958e-42,7.405004371531083e-42
VFG000129,2540,2834,0.019818385826771655,0.018894777699364852,0.08094155738218824,0.04527878440538205,-0.0009236081274068032,-0.0688518815937121,-0.014289609575457543,-0.014287614470104243,0.0,-0.22333503742519129,0.6113301377087057,0.6265373550646437
VFG000130,2756,2836,0.08811422351233672,0.06801262341325812,0.12747474884992507,0.09827136221054783,-0.020101600099078604,-0.37357233010840596,-0.17694109234959718,-0.17691735142750545,0.0,-0.6446937928479164,4.8003740483146796e-11,7.297985638028221e-11
VFG000131,2664,2839,0.05441888138138138,0.029486403663261707,0.09743078049804936,0.054139353297477925,-0.024932477718119673,-0.8840572036271092,-0.31903050873883315,-0.31898701051012723,0.0,-0.5793380118406536,8.751739391986561e-31,1.767508151714933e-30
VFG000133,2671,2839,0.015907862223886186,0.06570841845720324,0.044770547162375225,0.09568134873843241,0.049800556233317056,2.0463375585189865,0.6602786841228973,0.6601887728137252,0.0,-0.5073607712229866,2.9566648007552035e-128,1.6461431052853295e-127
VFG000139,2750,2837,0.2892329090909091,0.30009393725766653,0.2636806255122751,0.21954101457105013,0.010861028166757436,0.05318245860357602,0.044829506597769735,0.04482348625129974,-0.004799534131634447,-0.879510878969462,0.09488003310541623,0.10919154647885891
VFG000141,2559,2818,0.21801551387260654,0.2829053229240596,0.17528975441807232,0.21323720879199992,0.06488980905145308,0.37588850632927506,0.3309088951948627,0.33086271971295267,-0.0046670319148614265,-0.5300295565464131,5.9779127539563645e-34,1.263025669041037e-33
VFG000142,2693,2837,0.044120980319346456,0.041698907296439894,0.07816675773681651,0.08677384225149687,-0.0024220730229065623,-0.0814552484735623,-0.02928944956601381,-0.02928547560062563,0.0,-0.46551412485875404,0.2750453436060694,0.2982836360427682
VFG000143,2662,2837,0.006752404207362885,0.014423087768769828,0.03977533543713765,0.04751704666929303,0.007670683561406944,1.0949057476463984,0.17457145202977234,0.17454763275674332,0.0,-0.13137336479127512,8.423954609827747e-11,1.271307435622356e-10
VFG000144,2639,2832,0.04529905267146646,0.10220829802259888,0.07191349540729543,0.0411695639662712,0.056909245351132426,1.1739593673578743,0.9800441864020306,0.9799097803421812,23.274976533759425,-0.9371451532103198,3.7350886044290685e-242,4.049622381644148e-241
VFG000145,2829,2836,0.06686291975963238,0.10042909026798309,0.13365836677889262,0.03252662905839236,0.033566170508350715,0.5868988876053268,0.3452753720058578,0.34522964218748253,23.15807725326693,-0.9008633132262518,1.4341250823300703e-37,3.1766641608601554e-37
VFG000146,2794,2835,0.01266020042949177,0.07726465608465609,0.05240574439822305,0.016272224350094778,0.06460445565516432,2.609507421417857,1.6700110141860343,1.669788415303795,22.93517098589152,-0.883769579307637,0.0,0.0
VFG000148,2688,2836,0.3368896577380952,0.20370200987306064,0.35114396843686324,0.11719826523949789,-0.13318764786503456,-0.7258158964162161,-0.5143551073602669,-0.5142852443040763,-0.016913381944917993,-0.9231191021895359,3.257832770933281e-74,1.0737816812996094e-73
VFG000155,2093,2820,0.01873769708552317,0.03350875886524823,0.06051004694993503,0.0521281667896265,0.014771061779725057,0.8385942592795065,0.26446458540711526,0.2644241947460033,0.0,-0.4042925930067466,4.503240444667587e-19,7.666673814888619e-19
VFG000157,2213,2838,0.09516326253953908,0.2101861169837914,0.1123388708337454,0.13752187720086795,0.11502285444425231,1.14319065943652,0.9049460506794835,0.9048116194761144,1.2648154974848198,0.3873645926578387,5.835616682238314e-213,4.906681781800378e-212
VFG000164,2768,2835,0.03158287572254335,0.028777495590828928,0.08657670238074681,0.08035307597539797,-0.0028053801317144203,-0.13420145005957992,-0.03360313317371165,-0.03359863335674423,0.0,-0.3496140063818291,0.20900885585308437,0.23273418543640745
VFG000165,2829,2830,0.2790598444680099,0.13394826855123676,0.1913707346931748,0.07826034929423954,-0.14511157591677315,-1.0588985529493873,-0.9926345485106671,-0.992502940093929,-0.9396961644466358,-0.47990674575665715,1.247483941750771e-259,1.7132112800043925e-258
VFG000166,2803,2837,0.4918486621476989,0.21646806485724357,0.4901657944986901,0.08357832750701741,-0.27538059729045533,-1.1840602384860102,-0.7854546635424727,-0.7853501730990056,-0.26141219583639497,-0.14595432583876156,3.363739981944277e-166,2.30976812093507e-165
VFG000168,2835,2837,0.1709837037037037,0.12580958759252733,0.16743057745360346,0.14226529474890232,-0.04517411611117636,-0.44261692934480623,-0.2907820050959039,-0.2907435401717323,-0.42595111634319766,-0.7885111020347773,1.286959929294443e-27,2.466174376136328e-27
VFG000171,2137,2837,0.3092010762751521,0.1281031018681706,0.2663664812351962,0.06762196751855303,-0.1810979744069815,-1.2712398657897308,-0.9955659674093358,-0.9954157839778364,-1.4319353508285582,-0.8826031901131334,3.383622643186308e-174,2.489379516058498e-173
VFG000172,2364,2791,0.02753384094754653,0.025732246506628444,0.08687497208973438,0.06622780182056216,-0.0018015944409180869,-0.0976284276095771,-0.023583587501695483,-0.023580154831640412,0.0,-0.31784437044136915,0.40918753057133983,0.43674938496215543
VFG000173,2580,2833,0.062312868217054264,0.02925979527003177,0.15161582433999657,0.07548815470619726,-0.03305307294702249,-1.0906101881054744,-0.27996279504276517,-0.2799239885748481,0.0,-0.4322223955212241,2.9471025268441466e-23,5.1668350683395256e-23
VFG000175,2218,2837,0.07125103697024346,0.032866337680648575,0.06745226061231571,0.03300115437593118,-0.038384699289594884,-1.1163000696309504,-0.7517068828853468,-0.7515953040100484,-1.7297056443774237,-0.9214778435036439,5.326877500932544e-122,2.77806775998001e-121
VFG000176,2692,2692,0.015147622585438336,0.1838137444279346,0.04495977836136087,0.13207336360807753,0.16866612184249627,3.6010804862753516,1.7096939927939159,1.709455730055105,23.141022090920146,-0.9282339229768904,0.0,0.0
VFG000181,2837,2838,0.0257517800493479,0.005317195207892882,0.07366380412325507,0.014135785701171506,-0.020434584841455015,-2.2759326690835877,-0.3853094874076867,-0.3852585452516679,0.0,-0.2658346877551573,3.4773408682624185e-46,8.898536880274015e-46
VFG000182,2837,2838,0.028264998237574907,0.01266892177589852,0.08817534003553704,0.037926730928112176,-0.015596076461676387,-1.1577222335891741,-0.2297991540377563,-0.22976877205978646,0.0,-0.26644700316938436,7.153228921292447e-18,1.2078402932674133e-17
VFG000185,2217,2834,0.03154429409111412,0.10197554693013408,0.08628526054296656,0.03613919327120865,0.07043125283901996,1.6927719577961395,1.113548100246002,1.1133826808698821,23.221403182016505,-0.9353591561199164,2.384075666653373e-234,2.28427715037486e-233
